symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2017-04-04 00:00:00+00:00,13.86,13.86,13.86,13.86,0.0,11.9357712581,11.9357712581,11.9357712581,11.9357712581,0.0,0.0,1.0
NASDX,2017-04-05 00:00:00+00:00,13.8,13.8,13.8,13.8,0.0,11.8841012527,11.8841012527,11.8841012527,11.8841012527,0.0,0.0,1.0
NASDX,2017-04-06 00:00:00+00:00,13.82,13.82,13.82,13.82,0.0,11.9013245878,11.9013245878,11.9013245878,11.9013245878,0.0,0.0,1.0
NASDX,2017-04-07 00:00:00+00:00,13.81,13.81,13.81,13.81,0.0,11.8927129203,11.8927129203,11.8927129203,11.8927129203,0.0,0.0,1.0
NASDX,2017-04-08 00:00:00+00:00,13.82,13.82,13.82,13.82,0.0,11.9013245878,11.9013245878,11.9013245878,11.9013245878,0.0,0.0,1.0
NASDX,2017-04-09 00:00:00+00:00,13.82,13.82,13.82,13.82,0.0,11.9013245878,11.9013245878,11.9013245878,11.9013245878,0.0,0.0,1.0
NASDX,2017-04-10 00:00:00+00:00,13.82,13.82,13.82,13.82,0.0,11.9013245878,11.9013245878,11.9013245878,11.9013245878,0.0,0.0,1.0
NASDX,2017-04-11 00:00:00+00:00,13.76,13.76,13.76,13.76,0.0,11.8496545824,11.8496545824,11.8496545824,11.8496545824,0.0,0.0,1.0
NASDX,2017-04-12 00:00:00+00:00,13.7,13.7,13.7,13.7,0.0,11.7979845769,11.7979845769,11.7979845769,11.7979845769,0.0,0.0,1.0
NASDX,2017-04-13 00:00:00+00:00,13.65,13.65,13.65,13.65,0.0,11.7549262391,11.7549262391,11.7549262391,11.7549262391,0.0,0.0,1.0
NASDX,2017-04-14 00:00:00+00:00,13.76,13.76,13.76,13.76,0.0,11.8496545824,11.8496545824,11.8496545824,11.8496545824,0.0,0.0,1.0
NASDX,2017-04-15 00:00:00+00:00,13.76,13.76,13.76,13.76,0.0,11.8496545824,11.8496545824,11.8496545824,11.8496545824,0.0,0.0,1.0
NASDX,2017-04-16 00:00:00+00:00,13.76,13.76,13.76,13.76,0.0,11.8496545824,11.8496545824,11.8496545824,11.8496545824,0.0,0.0,1.0
NASDX,2017-04-17 00:00:00+00:00,13.76,13.76,13.76,13.76,0.0,11.8496545824,11.8496545824,11.8496545824,11.8496545824,0.0,0.0,1.0
NASDX,2017-04-18 00:00:00+00:00,13.74,13.74,13.74,13.74,0.0,11.8324312472,11.8324312472,11.8324312472,11.8324312472,0.0,0.0,1.0
NASDX,2017-04-19 00:00:00+00:00,13.76,13.76,13.76,13.76,0.0,11.8496545824,11.8496545824,11.8496545824,11.8496545824,0.0,0.0,1.0
NASDX,2017-04-20 00:00:00+00:00,13.87,13.87,13.87,13.87,0.0,11.9443829257,11.9443829257,11.9443829257,11.9443829257,0.0,0.0,1.0
NASDX,2017-04-21 00:00:00+00:00,13.87,13.87,13.87,13.87,0.0,11.9443829257,11.9443829257,11.9443829257,11.9443829257,0.0,0.0,1.0
NASDX,2017-04-22 00:00:00+00:00,14.03,14.03,14.03,14.03,0.0,12.0821696069,12.0821696069,12.0821696069,12.0821696069,0.0,0.0,1.0
NASDX,2017-04-23 00:00:00+00:00,14.03,14.03,14.03,14.03,0.0,12.0821696069,12.0821696069,12.0821696069,12.0821696069,0.0,0.0,1.0
NASDX,2017-04-24 00:00:00+00:00,14.03,14.03,14.03,14.03,0.0,12.0821696069,12.0821696069,12.0821696069,12.0821696069,0.0,0.0,1.0
NASDX,2017-04-25 00:00:00+00:00,14.14,14.14,14.14,14.14,0.0,12.1768979502,12.1768979502,12.1768979502,12.1768979502,0.0,0.0,1.0
NASDX,2017-04-26 00:00:00+00:00,14.12,14.12,14.12,14.12,0.0,12.1596746151,12.1596746151,12.1596746151,12.1596746151,0.0,0.0,1.0
NASDX,2017-04-27 00:00:00+00:00,14.2,14.2,14.2,14.2,0.0,12.2285679557,12.2285679557,12.2285679557,12.2285679557,0.0,0.0,1.0
NASDX,2017-04-28 00:00:00+00:00,14.22,14.22,14.22,14.22,0.0,12.2457912908,12.2457912908,12.2457912908,12.2457912908,0.0,0.0,1.0
NASDX,2017-04-29 00:00:00+00:00,14.32,14.32,14.32,14.32,0.0,12.3319079665,12.3319079665,12.3319079665,12.3319079665,0.0,0.0,1.0
NASDX,2017-04-30 00:00:00+00:00,14.32,14.32,14.32,14.32,0.0,12.3319079665,12.3319079665,12.3319079665,12.3319079665,0.0,0.0,1.0
NASDX,2017-05-01 00:00:00+00:00,14.32,14.32,14.32,14.32,0.0,12.3319079665,12.3319079665,12.3319079665,12.3319079665,0.0,0.0,1.0
NASDX,2017-05-02 00:00:00+00:00,14.36,14.36,14.36,14.36,0.0,12.3663546368,12.3663546368,12.3663546368,12.3663546368,0.0,0.0,1.0
NASDX,2017-05-03 00:00:00+00:00,14.32,14.32,14.32,14.32,0.0,12.3319079665,12.3319079665,12.3319079665,12.3319079665,0.0,0.0,1.0
NASDX,2017-05-04 00:00:00+00:00,14.32,14.32,14.32,14.32,0.0,12.3319079665,12.3319079665,12.3319079665,12.3319079665,0.0,0.0,1.0
NASDX,2017-05-05 00:00:00+00:00,14.37,14.37,14.37,14.37,0.0,12.3749663044,12.3749663044,12.3749663044,12.3749663044,0.0,0.0,1.0
NASDX,2017-05-06 00:00:00+00:00,14.39,14.39,14.39,14.39,0.0,12.3921896396,12.3921896396,12.3921896396,12.3921896396,0.0,0.0,1.0
NASDX,2017-05-07 00:00:00+00:00,14.39,14.39,14.39,14.39,0.0,12.3921896396,12.3921896396,12.3921896396,12.3921896396,0.0,0.0,1.0
NASDX,2017-05-08 00:00:00+00:00,14.39,14.39,14.39,14.39,0.0,12.3921896396,12.3921896396,12.3921896396,12.3921896396,0.0,0.0,1.0
NASDX,2017-05-09 00:00:00+00:00,14.44,14.44,14.44,14.44,0.0,12.4352479774,12.4352479774,12.4352479774,12.4352479774,0.0,0.0,1.0
NASDX,2017-05-10 00:00:00+00:00,14.46,14.46,14.46,14.46,0.0,12.4524713126,12.4524713126,12.4524713126,12.4524713126,0.0,0.0,1.0
NASDX,2017-05-11 00:00:00+00:00,14.44,14.44,14.44,14.44,0.0,12.4352479774,12.4352479774,12.4352479774,12.4352479774,0.0,0.0,1.0
NASDX,2017-05-12 00:00:00+00:00,14.47,14.47,14.47,14.47,0.0,12.4610829802,12.4610829802,12.4610829802,12.4610829802,0.0,0.0,1.0
NASDX,2017-05-13 00:00:00+00:00,14.52,14.52,14.52,14.52,0.0,12.504141318,12.504141318,12.504141318,12.504141318,0.0,0.0,1.0
NASDX,2017-05-14 00:00:00+00:00,14.52,14.52,14.52,14.52,0.0,12.504141318,12.504141318,12.504141318,12.504141318,0.0,0.0,1.0
NASDX,2017-05-15 00:00:00+00:00,14.52,14.52,14.52,14.52,0.0,12.504141318,12.504141318,12.504141318,12.504141318,0.0,0.0,1.0
NASDX,2017-05-16 00:00:00+00:00,14.57,14.57,14.57,14.57,0.0,12.5471996559,12.5471996559,12.5471996559,12.5471996559,0.0,0.0,1.0
NASDX,2017-05-17 00:00:00+00:00,14.21,14.21,14.21,14.21,0.0,12.2371796232,12.2371796232,12.2371796232,12.2371796232,0.0,0.0,1.0
NASDX,2017-05-18 00:00:00+00:00,14.32,14.32,14.32,14.32,0.0,12.3319079665,12.3319079665,12.3319079665,12.3319079665,0.0,0.0,1.0
NASDX,2017-05-19 00:00:00+00:00,14.39,14.39,14.39,14.39,0.0,12.3921896396,12.3921896396,12.3921896396,12.3921896396,0.0,0.0,1.0
